positionName,workYear,education,city,createTime,companyFullName,positionLables,salary,positionAdvantage
初级Python开发工程师,3-5年,本科,北京,2018-08-30 08:41:59,北京汇游科技有限公司,[],10k-15k,"五险一金,全勤奖,餐补,年终奖金"
Python开发工程师,3-5年,本科,北京,2018-08-30 11:13:59,车好多旧机动车经纪(北京)有限公司,"['Java', 'PHP']",20k-40k,最高19薪 独角兽公司 学习型团队
Python开发工程师,3-5年,本科,北京,2018-08-30 09:30:05,上海淇毓信息科技有限公司,['Java'],20k-30k,"团队业绩突,成长空间大,稳定性高"
python开发工程师,3-5年,本科,上海,2018-08-29 09:14:34,智慧芽信息科技（苏州）有限公司,[],15k-30k,"不打卡,晋升快"
Python开发工程师,1-3年,本科,上海,2018-08-30 11:30:38,上海道客网络科技有限公司,"['云计算', '后端', 'docker']",10k-20k,"大牛环绕,弹性工作,福利优惠"
Python,3-5年,本科,郑州,2018-08-30 08:24:59,大河网络传媒有限公司,[],5k-10k,五险 双休
Python工程师,3-5年,大专,北京,2018-08-30 09:45:52,北京点石经纬科技有限公司,[],15k-30k,"机会多多,K12,平台好"
高级Python开发工程师,1-3年,大专,郑州,2018-08-30 10:14:49,郑州创恒实业有限公司,"['云计算', 'MySQL', '云计算', '爬虫']",7k-10k,高级
Python开发工程师,1-3年,本科,广州,2018-08-29 10:23:39,武汉佰钧成技术有限责任公司,[],11k-18k,"大平台,加班少,成长快,学院派"
Python中级开发工程师,3-5年,本科,上海,2018-08-30 10:00:16,上海众言网络科技有限公司,['Java'],15k-30k,"股票期权,弹性工作,五险一金,下午茶"
Python,3-5年,本科,成都,2018-08-29 14:39:01,梦思特科技（成都）有限公司,[],10k-15k,不加班，工作氛围良好，弹性上下班
Python研发工程师,5-10年,本科,北京,2018-08-29 10:37:22,京东金融,"['大数据', '数据挖掘', '算法', '机器学习']",25k-50k,餐补+年终奖+良好的晋升空间
Python开发工程师,3-5年,本科,北京,2018-08-28 11:01:42,轻易科技有限公司,"['Java', 'PHP']",15k-28k,"弹性工作制,扁平化管理,绩效奖金,美国上市"
python工程师,3-5年,本科,苏州,2018-08-28 10:13:45,苏州梦嘉信息技术有限公司,"['大数据', 'Hadoop', '数据挖掘']",10k-18k,"项目奖金,年终奖金,团建福利,生日惊喜"
Python开发工程师,1年以下,大专,广州,2018-08-30 10:03:38,广州玖维信息科技有限公司,['Java'],5k-8k,"双休,提成,五险一金,带薪休假"
Python工程师,3-5年,本科,贵阳,2018-08-30 09:00:13,国信优易数据有限公司,"['软件开发', 'Java']",7k-14k,"五险一金,绩效奖金,年终奖,职业培训"
Python开发工程师(J10100),3-5年,大专,北京,2018-08-29 15:13:06,会找房（北京）网络技术有限公司,[],15k-30k,"五险一金,十四薪,弹性工作"
Python开发工程师,3-5年,本科,上海,2018-08-29 10:16:14,上海进馨网络科技有限公司,[],15k-30k,发展前景大、工作氛围好、技术牛人多
Python,1-3年,本科,北京,2018-08-30 11:13:59,车好多旧机动车经纪(北京)有限公司,[],20k-30k,核心项目 BI方向 等你来挑战
中高级Python开发工程师,3-5年,本科,北京,2018-08-30 08:42:03,北京汇游科技有限公司,[],20k-30k,"五险一金,全勤奖,餐补,年终奖金"
Python开发工程师（南京）,1-3年,本科,南京,2018-08-29 10:27:06,飞友科技有限公司,"['Java', '数据库']",10k-18k,弹性工作
Python开发工程师,1-3年,本科,上海,2018-08-30 09:56:57,上海优梦信息科技有限公司,"['云计算', 'Java', 'PHP', '云计算']",10k-20k,"弹性工作,全勤奖,餐补,五险一金"
python开发工程师,1-3年,本科,武汉,2018-08-29 09:42:24,武汉安天信息技术有限责任公司,['PHP'],8k-14k,"五险一金,试用不打折,免费班车,员工旅游"
python开发工程师（本科，2年+）,1-3年,本科,广州,2018-08-29 16:59:56,武汉佰钧成技术有限责任公司,[],10k-20k,"福利齐全,弹性工作制,技术平台好"
Python开发工程师,3-5年,本科,杭州,2018-08-29 10:37:24,京东金融,"['云计算', '云计算']",15k-25k,"班车,餐补"
高级python开发工程师,3-5年,本科,上海,2018-08-30 10:00:17,上海众言网络科技有限公司,"['分布式', '后端', '网络爬虫']",15k-30k,"晋升机制,上市激励,福利多多,五险一金"
Python软件开发工程师,1年以下,大专,广州,2018-08-30 10:03:37,广州玖维信息科技有限公司,"['Java', 'Linux']",4k-6k,"双休,提成,带薪休假,五险一金"
python开发工程师,不限,本科,上海,2018-08-27 20:22:38,瞬联软件科技（北京）有限公司,"['Node.js', '自动化']",10k-20k,五险一金、弹性工作制、带薪年假、内部培训
Python开发工程师,3-5年,本科,南京,2018-08-24 12:08:50,孩子王儿童用品股份有限公司,"['电商', '后端']",10k-20k,"母婴独角兽,文化氛围好"
Python 开发工程师,不限,本科,上海,2018-08-30 10:54:33,竹间智能科技（上海）有限公司,['C++'],20k以上,发展空间大 期权激励 弹性工作
Python开发工程师,1-3年,本科,天津,2018-08-06 13:18:04,北京汇行科技有限公司,"['大数据', '数据挖掘', '爬虫']",5k-10k,"互联网,大触,人工智能,扁平化"
高级python工程师,3-5年,本科,北京,2018-08-29 14:46:36,锐波（北京）科技有限公司,"['信息安全', '直播', 'PHP', '数据库']",25k-40k,"核心产品,团队氛围好,区块链应用,奖金多"
Python开发工程师,3-5年,本科,上海,2018-08-29 10:21:16,上海道客网络科技有限公司,"['云计算', '软件开发', 'Java']",20k-40k,"15天年假,5天病假,年终多薪,公司前景"
Python研发工程师,3-5年,大专,北京,2018-08-28 14:40:30,上海诚信互通网络信息科技有限公司,"['Java', 'PHP']",15k-30k,五险一金
Python开发工程师,3-5年,本科,北京,2018-08-22 11:04:00,上海海知智能科技有限公司,"['大数据', 'Hadoop', '数据挖掘']",20k-40k,"创新前沿,技术大牛,成长空间大,工作弹性"
Python工程师,1-3年,本科,上海,2018-08-30 10:44:07,上海大岂网络科技有限公司,['MySQL'],10k-20k,"薪资福利好,技术团队强,氛围好,发展空间大"
python高级研发工程师,5-10年,大专,北京,2018-08-29 10:20:53,乐飞天下信息技术(北京)有限公司,"['旅游', '大数据', '后端', '数据挖掘', '系统架构']",20k-35k,"绩效奖金,员工旅游,带薪年假,股票期权"
高级Python工程师,3-5年,本科,北京,2018-08-30 11:46:52,北京汉迪移动互联网科技股份有限公司,"['移动互联网', '服务器端']",25k-50k,"硅谷氛围,高手如云,零食水果,六险一金"
高级Python开发工程师,3-5年,本科,北京,2018-08-30 10:26:33,北京国双科技有限公司,['大数据'],15k-20k,"上市大数据,六险一金,年终奖金,带薪年假"
python工程师,3-5年,本科,北京,2018-08-27 19:44:34,北京作业盒子科技有限公司,"['大数据', '数据挖掘', '爬虫']",15k-30k,"大平台,技术牛,好前景,核心职位"
Python开发工程师,3-5年,本科,深圳,2018-08-20 10:21:36,万科物业发展有限公司,[],15k-30k,"平台好,空间大"
python开发工程师,3-5年,本科,深圳,2018-08-30 10:39:12,深圳呗佬智能有限公司,[],15k-30k,"AI领域,硅谷大牛,氛围好,期权"
python开发工程师,3-5年,本科,北京,2018-08-29 17:29:42,同程网络科技股份有限公司,[],25k-35k,"晋升空间,优秀团队"
Python开发工程师,1-3年,本科,上海,2018-08-29 15:58:31,舶乐蜜电子商务（上海）有限公司,[],15k-20k,"高手众多,国际团队,晋升潜力大"
Python工程师,1-3年,本科,上海,2018-08-14 11:41:30,上海米闲企业管理合伙企业(有限合伙),['后端'],8k-15k,"年度旅游,半年调薪,保底14薪"
Python开发工程师,5-10年,大专,北京,2018-08-10 10:56:49,北京复华卓越商业管理有限公司,"['广告营销', '大数据', '数据挖掘', '算法']",15k-30k,提升空间大
量化平台研发工程师-python,3-5年,本科,广州,2018-08-30 11:01:35,广州经传多赢投资咨询有限公司,"['大数据', '架构师', 'C++']",15k-25k,"技术大牛多,扁平管理,快速兑现"
Python工程师-机器学习方向,1-3年,本科,北京,2018-08-30 10:24:42,北京曜辉信息科技有限公司,"['大数据', '算法', '数据挖掘']",20k-35k,"高成长,机会大,全额险金,有零食"
高级Python开发工程师,3-5年,本科,上海,2018-08-30 10:17:37,两鲜商贸（上海）有限公司,['软件开发'],15k-20k,"环境氛围佳,牛人多多,下午茶多多"
Python 开发工程师,3-5年,本科,深圳,2018-08-27 16:54:55,深圳羚羊极速科技有限公司,"['云计算', '运维', 'Linux']",15k-30k,"发展前景好,股份期权,团队年轻,福利好"
Python开发工程师,3-5年,本科,北京,2018-08-30 10:53:32,北京墨迹风云科技股份有限公司,[],15k-25k,"5亿用户,六险一金"
Python研发工程师,5-10年,本科,北京,2018-08-30 10:46:55,北京融联世纪信息技术有限公司,"['分布式', 'Java']",20k-40k,"优质团队,福利待遇"
Python开发工程师,5-10年,本科,上海,2018-08-30 10:32:35,飞榴（上海）信息科技有限公司,"['大数据', 'Java']",15k-30k,"团队好,上升空间大,环境佳"
资深Python研发工程师,3-5年,本科,北京,2018-08-27 16:28:47,北京国双科技有限公司,"['后端', '平台', '云计算']",20k-30k,"上市公司,六险一金,发挥空间,团队氛围"
Python开发-AI产品线,不限,本科,北京,2018-08-30 09:22:10,北京天润融通科技有限公司,[],15k-30k,"三板上市,班车接送,扁平化管理,五险一金"
python开发工程师,3-5年,本科,南京,2018-08-28 20:13:59,北京通力互联技术服务有限公司,"['云计算', '自动化', 'Linux/Unix']",8k-16k,"五险一金,open,nice"
python工程师,3-5年,本科,上海,2018-07-31 20:31:52,上海拍拍贷金融信息服务有限公司,"['后端', '服务器端']",12k-24k,晋升空间大、福利好
PHP/Python 开发工程师,3-5年,本科,北京,2018-08-29 23:19:07,百度在线网络技术（北京）有限公司,['Linux/Unix'],15k-30k,"IT互联网,百度,PHP"
Python高级开发工程师,3-5年,本科,深圳,2018-08-29 14:11:43,深圳市明源云客电子商务有限公司,"['大数据', 'Java', 'Hadoop', 'PHP']",16k-22k,技术导向，牛人多，氛围赞，扁平管理
Python,1-3年,大专,深圳,2018-08-29 09:05:03,深圳市博奥特科技有限公司,"['大数据', '金融']",10k-20k,"行业前景好,发展空间大"
资深Python工程师,5-10年,本科,上海,2018-08-28 14:34:29,平安健康互联网股份有限公司上海分公司,"['大数据', 'Java']",30k-50k,"团队齐全,技术先进"
Python开发工程师,3-5年,大专,杭州,2018-08-24 10:14:25,武汉佰钧成技术有限责任公司,['Java'],10k-15k,"JAVA,Linux,Shell"
python工程师,1-3年,本科,深圳,2018-08-30 08:57:05,深圳市紫川软件有限公司,[],8k-14k,周末双休 免费体检 员工旅游 五险一金
Python开发工程师,3-5年,本科,成都,2018-08-28 19:07:11,网信集团有限公司,['算法'],8k-16k,"六险一金,弹性工作制,股票期权,饭补"
高级Python研发工程师,3-5年,本科,北京,2018-08-30 11:43:04,掌阅科技股份有限公司,"['云计算', 'Java', '云计算']",25k-35k,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大"
Python开发工程师,3-5年,本科,北京,2018-08-30 09:34:26,北京棕榈创想科技有限公司,"['大数据', 'Java', 'Node.js']",15k-25k,"14薪,技术新,大牛多,年度体检"
高级python开发工程师,5-10年,本科,北京,2018-08-29 17:49:51,北京源石智影科技有限公司,"['云计算', '云计算']",20k-40k,"朝阳行业,平台广阔,技术大牛,福利丰厚"
Python,1-3年,本科,上海,2018-08-29 17:32:10,上海辰沅金融信息服务有限公司,"['金融', 'Shell']",13k-26k,"公司环境好,牛人聚集地,扁平化管理,晋升空间大"
高级python开发工程师,3-5年,本科,深圳,2018-08-29 15:08:20,北京国双科技有限公司,"['GO', '全栈']",15k-20k,大数据上市公司 福利待遇好 发展空间大
python工程师,3-5年,本科,上海,2018-07-31 20:31:52,上海拍拍贷金融信息服务有限公司,"['后端', '服务器端']",12k-24k,晋升空间大、福利好
高级Python开发工程师,3-5年,本科,深圳,2018-08-29 14:11:44,深圳市明源云客电子商务有限公司,"['大数据', 'Java', 'Hadoop', 'PHP']",16k-22k,技术导向，牛人多，氛围赞，扁平管理
Python开发工程师-pass平台方向,5-10年,本科,北京,2018-08-29 10:37:24,京东金融,"['云计算', '云计算']",25k-50k,"班车,餐补"
高级Python开发工程师,5-10年,本科,西安,2018-08-28 13:54:31,维视科技（西安）有限公司,"['移动互联网', '大数据', '图像处理']",12k-18k,"美资企业,人工智能,深度学习,计算机视觉"
python高级工程师,5-10年,本科,北京,2018-08-28 13:33:11,小小黛朵（北京）科技有限公司,"['大数据', '数据挖掘']",25k-30k,"团队氛围好,高速发展,福利多多"
Python高级研发工程师-度假事业部(J11528),3-5年,本科,北京,2018-08-30 09:51:04,北京趣拿软件科技有限公司,"['旅游', '大数据', '软件开发']",20k-40k,团队氛围融洽，帅哥美女多，年假多，年终奖
Python程序员,3-5年,本科,厦门,2018-08-30 09:37:49,厦门点触科技股份有限公司,[],10k-20k,五险一金，双休，班车接送，免费早餐
python中级开发,3-5年,本科,北京,2018-08-30 09:22:10,北京天润融通科技有限公司,[],15k-25k,"三板上市,班车接送,扁平化管理,五险一金"
高级python开发工程师-SH415-41509,3-5年,本科,上海,2018-08-29 15:17:35,上海点融信息科技有限责任公司,['Java'],20k-40k,"前景好,福利好"
python开发工程师,3-5年,本科,杭州,2018-08-28 15:27:06,杭州艾耕科技有限公司,"['Golang', 'Java']",15k-25k,"AI,不打卡,青春无极限,领导nic"
Python开发工程师,1-3年,本科,东莞,2018-08-28 12:11:55,广州华微明天软件技术有限公司,[],10k-15k,"带薪年假,员工旅游,定期体检,团队氛围好"
Python研发工程师,1-3年,本科,深圳,2018-08-28 09:57:19,深圳开黑科技有限公司,"['Golang', 'Node.js']",13k-25k,"电竞类项目,融资速度快,高期权,腾讯系团队"
Python开发工程师,1-3年,大专,上海,2018-08-29 10:13:19,搜股（北京）科技有限公司,['投资/融资'],10k-16k,"年终奖金,多次调薪,周末双休,五险一金"
Python开发工程师-深圳-01278,3-5年,本科,深圳,2018-08-29 09:34:33,北京比特大陆科技有限公司,['Java'],13k-25k,"弹性工作,年底双薪,丰厚福利"
资深python开发工程师,5-10年,本科,深圳,2018-08-29 15:08:20,北京国双科技有限公司,"['GO', '全栈']",15k-25k,大数据上市公司 福利待遇好 成长空间大
python开发工程师,3-5年,本科,泉州,2018-08-22 13:53:50,福建益华（集团）有限公司,['后端'],8k-16k,"平台稳定,团队氛围好,大牛多,福利好"
Python工程师(新闻类),3-5年,大专,北京,2018-08-30 10:16:49,中金中富（北京）文化传媒有限公司,['爬虫'],20k-30k,"年底双薪,项目奖金,周末双休,包吃"
Python开发工程师,3-5年,本科,深圳,2018-08-27 10:48:28,北京市商汤科技开发有限公司,"['大数据', 'Java']",15k-30k,"人工智能,福利好,技术大牛多,弹性工作"
PYTHON工程师,1-3年,本科,上海,2018-08-14 10:28:01,上海米闲企业管理合伙企业(有限合伙),['后端'],8k-15k,"最高16薪,年度旅游,半年调薪"
高级Python开发工程师,3-5年,本科,深圳,2018-08-29 10:11:18,深圳市和讯华谷信息技术有限公司,[],15k-30k,五险一金、14薪+、下午茶、年度旅游等等
python工程师,3-5年,本科,成都,2018-08-28 10:52:20,网信集团有限公司,"['金融', 'Java']",10k-20k,"六险一金,年终奖,项目奖金,下午茶"
Python开发工程师,1-3年,不限,上海,2018-08-22 15:36:56,上海齐家网信息科技股份有限公司,[],15k-30k,互联网公司 O2O行业 多轮风投
python,3-5年,本科,深圳,2018-08-07 09:44:42,深圳市博奥特科技有限公司,[],14K-22K,证券行业，提升空间大
python开发工程师,1-3年,本科,上海,2018-08-30 11:14:37,上海清鹤科技股份有限公司,"['C++', 'Java']",10k-18k,"准IPO,扁平化管理,餐补茶歇,独栋小楼"
Python开发工程师,1-3年,本科,上海,2018-08-29 17:32:09,上海辰沅金融信息服务有限公司,"['金融', 'Shell']",13k-26k,"公司环境好,牛人聚集地,扁平化管理,晋升空间大"
中级python开发,3-5年,本科,广州,2018-08-29 10:23:38,武汉佰钧成技术有限责任公司,"['云计算', 'Java', '云计算']",11k-18k,"平台好,加班少,上下班灵活,增值快"
Python,3-5年,不限,广州,2018-08-22 09:47:48,北京云房数据技术有限责任公司广州分公司,[],10k-16k,五险一金 工作环境好 弹性工作时间
python开发工程师,3-5年,本科,成都,2018-08-30 10:55:14,成都萌想科技有限责任公司,"['移动互联网', '后端']",10k-20k,"周末双休,年终奖,五险一金,员工旅游"
高级Python开发工程师,1年以下,大专,苏州,2018-08-29 15:37:52,昆山炫生活信息技术股份有限公司,['移动互联网'],15k-20k,"开发,编程"
中高级python开发工程师,3-5年,大专,深圳,2018-08-29 09:05:04,深圳市博奥特科技有限公司,"['大数据', '金融', '数据挖掘', '算法']",15k-30k,发展前景好
Python开发工程师,3-5年,本科,深圳,2018-08-22 11:04:00,上海海知智能科技有限公司,"['大数据', 'Hadoop']",20k-40k,"人工智能,技术大牛,成长空间大,创新前沿"
python工程师,3-5年,本科,北京,2018-08-29 12:00:19,赤子城网络技术（北京）有限公司,"['Java', 'PHP']",20k-35k,"最火区块链,海外市场,七险一金,带你玩币圈"
Python工程师,5-10年,硕士,北京,2018-08-28 11:03:29,北京慕华信息科技有限公司,"['教育', '工具软件', '全栈', 'C++', 'Node.js']",25k-40k,"五险一金,交通补,免费早餐,定期体检"
Python工程师,3-5年,本科,深圳,2018-08-28 00:16:58,海南新浪爱问普惠科技有限公司,"['大数据', 'Hadoop']",15k-25k,"福利好,金融科技,大数据,发展空间大"
Python开发工程师—CI/CD方向,3-5年,本科,北京,2018-08-27 16:50:20,北京贝斯平云科技有限公司,"['云计算', '后端']",15k-30k,"发展空间大,五险一金,带薪年假,创业公司"
Python/Rhadoop 数据挖掘,5-10年,大专,深圳,2018-08-25 10:34:21,武汉佰钧成技术有限责任公司,"['算法', 'NLP']",18k-30k,大数据项目
Python研发工程师,3-5年,本科,北京,2018-08-22 16:15:12,上海谦问万答吧云计算科技有限公司,[],20k-35k,地铁周边
高级Python开发工程师,3-5年,不限,福州,2018-08-17 18:29:45,福州龙腾简合网络技术有限公司,[],12k-20k,"发展空间大,工作氛围好,知识分享"
高级Python开发工程师,3-5年,本科,上海,2018-08-30 11:20:45,上海阿牛信息科技有限公司,"['Java', '爬虫']",15k-22k,五险一金
高级Python开发工程师,3-5年,本科,北京,2018-08-29 10:46:29,北京智分科技有限公司,['服务器端'],25k-45k,"Geek范,清华系,福利待遇好,股票期权"
Python开发工程师-自动化网络方向,3-5年,本科,北京,2018-08-29 10:37:25,京东金融,['信息安全'],18k-30k,"氛围良好,班车接送,免费用餐,有健身房"
Python高级研发工程师,3-5年,本科,北京,2018-08-30 10:07:01,北京完美创意科技有限公司,[],25k-45k,"弹性时间,技术大牛,年度旅游,福利齐全"
Linux C++/Python中高级研发工程师,3-5年,本科,北京,2018-08-30 09:17:39,北京好巧国际旅行社有限公司,[],20k-35k,"弹性不打卡,六险一金,B+轮融资,水果零食"
