positionName,workYear,education,city,createTime,companyFullName,positionLables,salary,positionAdvantage
Python技术经理,3-5年,不限,上海,2018-08-30 11:36:40,南昌力武田电子商务有限公司,['技术管理'],20k-30k,"薪资待遇好,项目稳定,回报优良"
Python工程师实习生,不限,本科,深圳,2018-08-30 09:26:30,深圳市华宇讯科技有限公司,"['PHP', '数据挖掘', '爬虫']",2k-4k,行业大牛、项目机会
python,不限,不限,常州,2018-08-22 11:03:53,常州宇新信息科技有限公司,[],10k-15k,你带上技能，我带上钱，我们一起去实现理想
Python开发工程师,不限,大专,广州,2018-08-22 09:47:48,北京云房数据技术有限责任公司广州分公司,"['Java', '爬虫']",15k-22k,十三薪、品牌分奖励金
高级Python开发工程师,3-5年,本科,北京,2018-08-14 12:00:57,奇虎360科技有限公司,"['云计算', '云计算']",20k-40k,"后端开发,大数据,工程"
高级Python开发工程师,3-5年,本科,北京,2018-08-13 11:43:02,北京快松果科技有限公司,"['Java', '算法']",30k-45k,"大牛多,快速发展期,业务好,17薪"
高级软件工程师/python开发工程师,1-3年,本科,上海,2018-08-30 11:04:21,上海速石信息科技有限公司,"['云计算', '企业服务', 'Linux/Unix']",15k-25k,"薪资高,大牛多,前景好,氛围好"
Python开发工程师,1-3年,本科,北京,2018-08-30 10:26:33,北京国双科技有限公司,['大数据'],13k-18k,"大数据企业,带薪年假,年终奖金,六险一金"
Python开发工程师,3-5年,本科,上海,2018-08-30 09:49:34,携程计算机技术（上海）有限公司,"['云计算', '软件开发']",15k-25k,跟优秀的团队一起工作
Python/R程序开发,1-3年,本科,上海,2018-08-30 09:03:22,上海海万信息科技股份有限公司,"['云计算', '云计算']",10k-15k,"年底双薪,节日礼金,体检旅游,五险一金"
Python技术主管,3-5年,本科,北京,2018-08-24 11:12:08,北京汇行科技有限公司,"['信息安全', 'Java']",15k-30k,"包三餐,氛围好,大牛带队"
高级Python开发工程师,3-5年,大专,上海,2018-08-22 15:36:57,上海齐家网信息科技股份有限公司,['电商'],15k-30k,行业发展前景好 公司行业领先 晋升机会多
高级Python开发工程师,3-5年,本科,上海,2018-08-30 11:01:51,武汉格联建筑装饰工程有限公司,"['Phalcon', '分布式', 'Golang']",25k-50k,"发展空间大,即将上市"
高级python研发工程师,1-3年,本科,北京,2018-08-28 14:21:27,北京字节跳动科技有限公司,['后端'],20k-40k,六险一金，高薪期权，弹性工作，租房补贴
Python开发工程师,不限,本科,厦门,2018-08-23 14:21:10,网宿科技股份有限公司北京分公司,['后端'],8k-16k,"上市公司,行业第一,氛围好,大牛带"
高级Python开发工程师,1-3年,本科,北京,2018-08-27 16:28:48,北京国双科技有限公司,[],12k-24k,上市公司 大数据 技术氛围浓厚
Python开发工程师,1-3年,本科,深圳,2018-08-20 10:23:26,上海炽聚网络科技有限公司,"['软件开发', 'Linux']",12k-20k,"热点行业，五险一金，待遇从优,BAT工作机会"
Python工程师,3-5年,本科,北京,2018-08-30 09:38:27,北京慕华信息科技有限公司,['教育'],15k-25k,来吧，与技术大牛过招吧！
Python主管,5-10年,本科,北京,2018-08-29 10:59:16,仁科互动（北京）信息科技有限公司,"['信息安全', '云计算', '云计算']",20k-35k,"不打卡,五险一金,丰厚年终奖,鲜有加班"
Python工程师,1-3年,本科,北京,2018-08-17 13:37:57,企鹅创新（北京）科技有限公司,"['Java', 'Node.js']",25k-35k,"Djang,主流Web,数据库"
python开发,1-3年,本科,广州,2018-08-30 09:52:38,广州机智云物联网科技有限公司,"['云计算', '云计算']",10k-18k,"五险一金,绩效奖金,交通补贴,弹性工作制"
资深Python开发工程师,3-5年,本科,上海,2018-08-30 09:03:59,上海骞云信息科技有限公司,"['云计算', 'Golang', 'Shell', '云计算']",18k-36k,"大牛如云,云服务,病假年假,团建旅游"
Python工程师,3-5年,大专,北京,2018-08-29 13:04:43,北京乐自天成文化发展有限公司,"['电商', 'Java', 'PHP']",20k-30k,"工作环境好,创业A轮"
智能监控开发工程师 Java/C++/Python,3-5年,本科,上海,2018-08-23 10:47:34,北京三快在线科技有限公司,[],28k-48k,"团队发展快,晋升机会多"
Python开发工程师-小米电视,3-5年,本科,北京,2018-08-16 16:38:39,北京小米科技有限责任公司,"['Java', 'PHP']",15k-25k,"带薪年假,补充医疗"
python开发工程师,1-3年,本科,上海,2018-08-28 14:22:58,上海魔芋网络科技有限公司,"['服务器端', 'Golang', 'PHP']",15k-25k,"牛人多,技术驱动,发展前景好"
高级Python后端工程师,3-5年,本科,北京,2018-08-23 11:18:36,北京旷视科技有限公司,"['Java', 'PHP']",25k-50k,大牛多
高级python开发工程师,3-5年,本科,上海,2018-08-30 09:40:41,上海合合信息科技发展有限公司,"['后端', 'C++']",15k-25k,"技术牛人多,工作氛围好,弹性工作,领导好"
"Python, nodejs，golang工程师",3-5年,本科,北京,2018-08-29 18:45:59,上海福萝电子科技有限公司,"['Node.js', 'Ruby']",30k-60k,"股权激励,成长空间,大牛团队,良好环境"
python高级工程师-北京,5-10年,大专,北京,2018-08-21 09:24:17,北京云族佳科技有限公司,"['地图', '后端', 'Java']",25k-40k,"绩效奖金,餐饮补贴,五险一金"
Python实习工程师,不限,本科,深圳,2018-08-30 09:58:35,北京国双科技有限公司,"['C++', 'Java']",2k-4k,"发展空间大,牛人多,弹性工作制,福利好"
Python开发实习生,应届毕业生,本科,上海,2018-08-30 09:40:40,上海合合信息科技发展有限公司,"['大数据', '后端']",4k-6k,"大数据,人工智能,转正机会"
python开发工程师,不限,本科,北京,2018-08-30 10:43:58,北京一人一亩田网络科技有限公司,"['大数据', 'Java', 'Hadoop', '数据挖掘']",20k-30k,"临近地铁,大牛团队,六险一金,年终奖"
Python开发工程师,3-5年,本科,深圳,2018-08-30 10:05:32,深圳回收宝科技有限公司,"['后端', 'MySQL']",15k-22k,"腾讯系团队,大牛导师多,发展前景广,薪资待遇好"
算法开发工程师（Python）,1-3年,本科,北京,2018-08-29 20:01:44,北京市商汤科技开发有限公司,"['视频', '机器学习']",20k-40k,"AI独角兽,公司前景好"
Python工程师,5-10年,本科,北京,2018-08-27 16:01:22,北京梦珊瑚信息科技有限公司,"['云计算', '金融', '云计算']",25k-40k,"五险一金,交通补助,活动经费,加班费"
python,3-5年,本科,北京,2018-08-27 10:23:23,小叶子（北京）科技有限公司,"['后端', 'PHP']",20k-30k,"免费午晚餐,五险一金,交补,年终奖"
Python开发工程师,3-5年,大专,上海,2018-08-30 07:56:20,上海锐赢信息技术有限公司,[],9k-18k,"地铁口,互联网,五险一金"
Python开发工程师,3-5年,本科,深圳,2018-08-29 16:45:21,深圳英菲创新智能科技有限公司,"['移动互联网', '服务器端']",12k-24k,"金融科技,人工智能"
Python 中级工程师,3-5年,本科,武汉,2018-08-29 15:51:27,智线云科技（北京）有限公司,[],10k-15k,带薪年假+福利多+办公环境好+氛围自由开放
高级Python工程师,3-5年,本科,北京,2018-08-29 10:55:12,北京朗势科技有限公司,['MySQL'],25k-35k,"8天年假,五险一金,扁平化管理,年终奖"
Python工程师,3-5年,本科,上海,2018-08-28 22:45:19,众安在线财产保险股份有限公司,[],15k-25k,"福利多,氛围好"
Python工程师,3-5年,本科,北京,2018-08-24 12:07:42,北京优护创智健康科技有限责任公司,['Java'],20k-30k,"带薪年假,不定期团建,大咖云集,扁平管理"
Python开发技术经理,3-5年,本科,北京,2018-08-24 11:12:08,北京汇行科技有限公司,"['分布式', 'Java']",15k-30k,"包三餐,大牛带队,氛围好"
Python工程师-机器学习方向,1-3年,本科,北京,2018-08-21 14:08:57,北京曜辉信息科技有限公司,['软件开发'],20K-35K,高成长
python开发实习生,应届毕业生,本科,上海,2018-08-30 09:40:40,上海合合信息科技发展有限公司,"['服务器端', '后端']",4k-6k,"技术牛人多,工作氛围好,工作环境佳,领导好"
【资深Python开发工程师】,3-5年,本科,北京,2018-08-30 09:13:29,北京微光果壳科技有限公司,[],15k-30k,"Geek,16薪,六险一金,海外旅游"
Python,1-3年,本科,成都,2018-08-29 12:05:18,成都捷云智慧科技有限公司,[],8k-10k,节日、生日福利、五险，绩效奖金、交通餐补
PYTHON技术开发工程师,1-3年,本科,济南,2018-08-27 11:15:29,山东广电信通网络运营有限公司,"['视频', '直播']",6k-9k,"五险一金,年度体检,带薪年假,学习晋升"
系统开发工程师（Python）,3-5年,本科,北京,2018-08-28 11:03:28,北京慕华信息科技有限公司,[],20k-35k,"五险一金,餐补,生日会,优秀团队"
python开发工程师,3-5年,大专,上海,2018-08-27 17:17:40,上海海万信息科技股份有限公司,[],12k-15k,大平台
python开发工程师,1-3年,大专,深圳,2018-08-27 14:30:23,深圳库尚信息技术有限公司,"['电商', 'Java', 'PHP']",12k-24k,"发展前景,环境好,双休,氛围好"
python开发工程师,3-5年,大专,厦门,2018-08-24 10:44:49,厦门声连网信息科技有限公司,['系统架构'],12k-24k,技术管理
Python高级开发工程师,3-5年,本科,上海,2018-08-16 15:04:50,上海易路软件有限公司,[],15k-20k,弹性工作，带薪年假，股权激励机会。
Python开发,1年以下,本科,上海,2018-08-30 09:17:02,上海彩亿信息技术有限公司,"['Java', 'Ruby']",14k-25k,"亿级用户,互联网金融,薪资福利好,晋升空间大"
python,1-3年,本科,东莞,2018-08-20 15:07:33,郑州可瑞为信息技术有限公司,"['移动互联网', '通信/网络设备', 'Linux/Unix', '后端']",20k-40k,"五险一金,带薪假,上市企业,高薪"
高级Python开发工程师,3-5年,本科,北京,2018-08-30 08:56:22,北京云动数字媒体技术有限公司,"['Java', 'PHP']",20k-40k,"行业领先,知名VC,精英团队,期权奖励"
Python工程师,不限,本科,北京,2018-08-28 21:04:12,零氪信息技术（北京）有限公司,"['医疗健康', '大数据', '平台', 'Hadoop', '数据库']",18k-36k,"15薪,六险一金,午晚餐补助,弹性不打卡"
高级python软件工程师，Cryptocurre,5-10年,本科,成都,2018-08-28 19:07:10,网信集团有限公司,['C++'],15k-30k,"六险一金,弹性工作制,股票期权,饭补"
Python开发工程师,3-5年,本科,北京,2018-08-27 21:49:57,北京小度互娱科技有限公司,"['后端', '爬虫', '抓取', '数据库']",15k-25k,"团队优秀,福利优厚"
python,1年以下,大专,徐州,2018-08-27 10:42:31,徐州文旭信息技术有限公司,[],3K-6K,法定放假+节日福利+日常水果零食
Python开发工程师,3-5年,本科,北京,2018-08-30 11:11:45,北京磁力信科技有限公司,"['GO', 'Ruby']",12k-24k,"五险一金,住房补贴,带薪休假,周末双休"
Python开发工程师,3-5年,本科,北京,2018-08-30 09:43:45,茂逊科技有限公司,"['后端', 'Golang', 'GO']",25k-35k,"扁平管理,13薪,不打卡,免费餐饮"
python开发实习生,1年以下,本科,北京,2018-08-30 09:22:09,北京天润融通科技有限公司,"['Java', 'PHP']",4k-8k,"可转正,定期培训,工作餐,三板上市"
高级Python工程师,5-10年,本科,北京,2018-08-29 12:16:01,北京百乘传媒技术有限公司,['后端'],18k-30k,工程师
资深Python研发工程师-产品变现,3-5年,本科,上海,2018-08-28 14:21:24,北京字节跳动科技有限公司,[],25k-40k,高薪期权，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，晋升空间，团队氛围好，五险一金
python开发工程师,1-3年,本科,北京,2018-08-02 19:49:06,北京阿博茨科技有限公司,"['大数据', '金融', 'Java']",15k-30k,"技术大牛多,技术氛围好"
Python后台开发工程师,3-5年,本科,深圳,2018-08-30 09:52:49,深圳市立新出行信息技术有限公司,[],25k-35k,"周末双休,五险一金,自助零食,领导好"
Python高级开发工程师&nbsp,3-5年,本科,北京,2018-08-29 09:10:41,北京格灵深瞳信息技术有限公司,"['后端', 'Linux/Unix', 'docker']",15k-30k,"扁平化管理,不定期团建"
Python工程师,3-5年,本科,上海,2018-08-21 13:42:13,上海翼依信息技术有限公司,"['医疗健康', '大数据', '网络爬虫', '算法']",10k-20k,"医疗AI,市场广阔,团队成长,领导nic"
Python 服务端研发工程师,1-3年,本科,上海,2018-08-29 09:19:46,上海晨芽教育科技有限公司,"['服务器端', 'Ruby']",12k-24k,"扁平管理,分享精神,技术氛围,结果导向"
python开发工程师,1-3年,本科,深圳,2018-08-28 17:09:11,深圳库尚信息技术有限公司,"['后端', 'Linux/Unix']",12k-24k,"发展前景好,公司环境佳,企业文化棒"
python运维开发工程师,3-5年,本科,南京,2018-08-28 10:53:49,孩子王儿童用品股份有限公司,"['云计算', '数据库', 'Linux/Unix']",10k-20k,"互联网氛围,母婴行业,独角兽企业"
高级Python开发工程师,5-10年,本科,北京,2018-08-28 09:01:38,北京弥财投资咨询有限公司,['支付'],20k-40k,"金融科技,行业先驱,技术大牛,优秀同事"
高级Python开发工程师,1-3年,本科,北京,2018-08-21 10:59:21,北京创业光荣信息科技有限责任公司,['C++'],15k-30k,"年底双薪,六险一金,定期体检"
python开发实习生（西安）,不限,本科,西安,2018-08-30 09:13:42,北京神州绿盟信息安全科技股份有限公司,[],2k-3k,餐饮补贴 专业培训 弹性工作
资深python研发工程师,5-10年,本科,北京,2018-08-29 15:49:33,中云网安科技（北京）有限公司,[],20k-35k,"技术前沿,人工智能"
Python 后端开发工程师,不限,本科,北京,2018-08-29 14:52:56,北京心跳时空科技有限公司,"['移动互联网', '数据库', '系统架构', '全栈']",25k-35k,"公司有橘猫,产研是核心,团队正面刚,不甩锅"
高级Python开发工程师,3-5年,本科,北京,2018-08-29 10:55:48,北京智融时代信息技术有限公司,"['服务器端', 'Java']",25k-40k,"优秀团队,工场项目,六险一金,金融科技"
Python开发工程师,3-5年,本科,北京,2018-08-27 10:34:37,北京众安天下科技有限公司,['后端'],20k-30k,"五险一金,带薪年假,免费体检,零食管饱"
Python开发,1-3年,本科,南京,2018-08-21 13:42:13,南京小易信息科技有限公司,['后端'],8k-12k,个人成长快
Django,3-5年,本科,深圳,2018-08-30 10:57:22,上海海万信息科技股份有限公司,"['金融', 'Python']",10k-20k,"大平台,环境好,交通便利"
python 开发工程师,1-3年,本科,上海,2018-08-30 09:18:15,上海坤亿信息技术有限公司,"['软件开发', 'C++']",7k-10k,"弹性工作,办公环境好,福利好,500强"
python后台开发工程师,3-5年,本科,北京,2018-08-29 18:24:48,普信恒业科技发展（北京）有限公司,"['MySQL', 'PHP']",15k-25k,"地铁周边,弹性工作,有餐补,平台大"
Python 中级工程师,1-3年,本科,廊坊,2018-08-29 15:51:23,智线云科技（北京）有限公司,[],8k-15k,带薪年假+福利多+办公环境好+氛围自由开放
Python开发工程师,1-3年,本科,上海,2018-08-29 09:34:08,上海晓途网络科技有限公司,['金融'],15k-25k,"年轻团队,扁平管理,弹性工作,简单透明"
python开发工程师,3-5年,本科,北京,2018-08-27 09:39:33,北京车势科技有限公司,"['云计算', '云计算']",15k-25k,办理工作居住证、待遇好、环境好、国际化
图像识别/python工程师,不限,大专,中山,2018-08-24 14:44:10,中山市艾里斯智能传媒有限公司,"['图像处理', '人工智能']",12k-20k,"双休,五险一金,互联网环境"
Python开发技术主管,3-5年,本科,北京,2018-08-24 11:12:09,北京汇行科技有限公司,"['信息安全', 'Java']",15k-30k,"包三餐,技术氛围好,大牛带队"
Python开发工程师,3-5年,本科,北京,2018-08-29 22:22:32,北京来也网络科技有限公司,['服务器端'],20k-40k,"人工智能,弹性工作,扁平管理,技术牛人"
高级python工程师,3-5年,本科,北京,2018-08-28 10:11:38,北京字节跳动科技有限公司,['后端'],30k-60k,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，团队氛围好，优厚薪资
中高级Python开发,3-5年,本科,北京,2018-08-27 10:25:47,北京闪银奇异科技有限公司,"['大数据', '数据挖掘']",18k-36k,"团队牛人多,年终奖丰厚,晋升调薪,全五险一金"
Python中级开发工程师,1-3年,本科,上海,2018-08-16 15:04:49,上海易路软件有限公司,[],10k-18k,高薪福利，弹性工作，五险一金
python开发工程师,不限,大专,南阳,2018-08-02 16:02:16,南阳市奇观信息技术有限责任公司,['后端'],3k-6k,"交通补助,通讯住房补,节假日放假,晋升快"
Python后台开发,3-5年,本科,深圳,2018-08-30 10:57:22,上海海万信息科技股份有限公司,['金融'],10k-20k,"交通便利,大平台"
python开发,5-10年,本科,广州,2018-08-30 10:11:22,广州影子控股股份有限公司,"['移动互联网', '大数据', 'docker']",20k-40k,"双休,五险一金,年终奖,发展空间大"
python开发工程师,1-3年,大专,广州,2018-08-30 09:29:40,广东分子资产管理股份有限公司,"['信息安全', '金融', 'C++']",10k-20k,"调薪,晋升,奖金,14薪"
python开发工程师,3-5年,本科,深圳,2018-08-29 19:13:08,深圳松茂科技有限公司,"['Java', 'PHP']",15k-20k,"下午茶零食,团建旅游,十点上班,周末双休"
python开发工程师,1-3年,本科,北京,2018-08-29 17:49:51,北京源石智影科技有限公司,[],15k-20k,"朝阳行业,平台广阔,技术大牛,福利丰厚"
高级Python开发工程师,1-3年,本科,上海,2018-08-28 15:46:12,上海寻梦信息技术有限公司,[],20k-40k,"福利好,大牛多,成长快"
Python开发工程师,应届毕业生,本科,杭州,2018-08-28 15:27:05,杭州艾耕科技有限公司,"['云计算', '云计算']",10k-20k,"AI,技术大牛,美女如云,领导nic"
高级Python,3-5年,本科,北京,2018-08-28 10:10:21,小叶子（北京）科技有限公司,['后端'],20k-30k,"五险一金,交通补助,午晚餐"
python高级工程师,1-3年,本科,上海,2018-08-24 04:01:46,上海守易信息科技有限公司,"['大数据', '区块链', '全栈']",15k-25k,"期权奖励,五险一金,发展空间大,前沿技术"
Python研发工程师,3-5年,本科,北京,2018-08-23 21:16:41,北京小叶科技有限公司,['服务器端'],20K-30K,五险一金，扁平管理
python工程师,1-3年,大专,太原,2018-08-07 10:57:35,山西万物有声文化传媒有限公司,"['后端', 'Java', '爬虫工程师']",4k-8k,高薪
